2016-10-21 13:59:53,671,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,678,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,684,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,690,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,697,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,704,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,710,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,717,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,725,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,732,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,739,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,747,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,755,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,762,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,769,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,775,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
2016-10-21 13:59:53,782,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -91, '1stFloorLinksys': -82, 'LEDE': -53, 'disarmNet': -88, 'SD-TD': -77}
