2016-10-21 14:10:39,959,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,964,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,969,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,974,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,978,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,982,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,987,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,992,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,996,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,002,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,006,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,010,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,015,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,020,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,025,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,030,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,035,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,039,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,043,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,048,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,053,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,057,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,061,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,065,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,069,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,074,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:40,079,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
