2016-10-21 14:14:48,806,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,810,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,815,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,818,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,822,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,826,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,829,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,833,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,837,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,842,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,848,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,853,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,859,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,863,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,869,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,874,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,878,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,882,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,886,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,890,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,894,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,898,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,903,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,907,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,911,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,916,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,922,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,927,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,931,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,935,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,940,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,945,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,950,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,955,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,961,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,965,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,968,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,972,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,976,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,981,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,985,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,990,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,994,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,998,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,002,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,007,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,012,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,017,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,021,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,026,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,030,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,035,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,039,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,044,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,049,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,054,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,059,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,063,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,067,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,071,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,075,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,079,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,084,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,088,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,092,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,096,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,100,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,104,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,109,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,115,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,121,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,126,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,130,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,134,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,138,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,142,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,147,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,152,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,157,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,161,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,166,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,171,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:49,175,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
