2016-10-21 14:22:06,676,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,679,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,682,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,685,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,687,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,691,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,695,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,699,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,702,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,704,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,707,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,710,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,713,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,724,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,727,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,730,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,733,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,735,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,738,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,741,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,744,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,746,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,749,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,753,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,757,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,762,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,766,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,770,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,775,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,780,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,788,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,793,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,798,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,803,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,808,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,813,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,818,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,823,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,827,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,831,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,835,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,839,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,843,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,850,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,855,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,860,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,866,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,871,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,875,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,880,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,885,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,890,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,895,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,899,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,904,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,910,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,916,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,920,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,925,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,929,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,934,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
2016-10-21 14:22:06,939,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -69, 'LEDE': -68, '1stFloorLinksys': -76, 'SD-TD': -82}
